Folder,Estimated DOA,Ground Truth DOA,Error (degrees)
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_4m_1personnes_rep1,-19.0,90.0,109.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_4m_1personnesLAB2_rep1,25.0,90.0,65.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_45_degres_2m_1personnes_rep1,27.0,45.0,18.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_45_degres_2m_1personnesLAB2_rep1,23.0,45.0,22.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_2.5m_1personnes_rep1,35.0,90.0,55.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_2.5m_1personnesLAB2_rep1,26.0,90.0,64.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_3.5m_1personnesLAB2_rep1,28.0,68.0,40.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_3.5m_1personnes_rep1,27.0,68.0,41.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_136_degres_0.9m_1personnesLAB2_rep1,33.0,136.0,103.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_136_degres_0.9m_1personnes_rep1,-74.0,136.0,210.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_23_degres_1m_1personnes_rep1,37.0,23.0,14.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_23_degres_1m_1personnesLAB2_rep1,28.0,23.0,5.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_2.5m_1personnes_rep1,26.0,68.0,42.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_68_degres_2.5m_1personnesLAB2_rep1,28.0,68.0,40.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_5m_1personnesLAB2_rep1,25.0,90.0,65.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_5m_1personnes_rep1,58.0,90.0,32.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_45_degres_1.5m_1personnes_rep1,37.0,45.0,8.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_45_degres_1.5m_1personnesLAB2_rep1,25.0,45.0,20.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_1.5m_1personnesLAB2_rep1,27.0,90.0,63.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_1.5m_1personnes_rep1,21.0,90.0,69.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_1m_1personnes_rep1,-29.0,90.0,119.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_90_degres_1m_1personnesLAB2_rep1,-46.0,90.0,136.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_23_degres_1.5m_1personnes_rep1,38.0,23.0,15.0
/store/wizar/HAR_code_complex/radardataM/radar_detection1/wRadar/separate_files/stand_23_degres_1.5m_1personnesLAB2_rep1,25.0,23.0,2.0
